Date : 2025-05-02 21:19:45
Directory : /Users/puruwo/dev/flutter/kakeibo_v3
Total : 226 files,  12461 codes, 1858 comments, 2209 blanks, all 16528 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| lib/view_model/state/calendar_page/is_datebox_selected                                                                                                              |          1 |         11 |          1 |          2 |         14 |
| lib/view_model/state/calendar_page/page_controller                                                                                                                  |          2 |         33 |         11 |         10 |         54 |
| lib/view_model/state/category_edit_page                                                                                                                             |          2 |         27 |          9 |         10 |         46 |
| lib/view_model/state/date_scope                                                                                                                                     |          6 |        199 |         24 |         44 |        267 |
| lib/view_model/state/date_scope (Files)                                                                                                                             |          1 |         19 |          0 |          3 |         22 |
| lib/view_model/state/date_scope/entity                                                                                                                              |          2 |        137 |         15 |         28 |        180 |
| lib/view_model/state/date_scope/selected_datetime                                                                                                                   |          2 |         36 |          9 |         11 |         56 |
| lib/view_model/state/date_scope/selected_period                                                                                                                     |          1 |          7 |          0 |          2 |          9 |
| lib/view_model/state/register_page                                                                                                                                  |         14 |        208 |         47 |         59 |        314 |
| lib/view_model/state/register_page (Files)                                                                                                                          |          6 |         73 |         19 |         20 |        112 |
| lib/view_model/state/register_page/input_date_controller                                                                                                            |          2 |         27 |          7 |          9 |         43 |
| lib/view_model/state/register_page/original_expense_entity                                                                                                          |          2 |         32 |          7 |         10 |         49 |
| lib/view_model/state/register_page/register_screen_mode                                                                                                             |          2 |         31 |          7 |         10 |         48 |
| lib/view_model/state/register_page/select_category_controller                                                                                                       |          2 |         45 |          7 |         10 |         62 |
| lib/view_model/state/small_category_edit_page                                                                                                                       |          4 |         57 |         18 |         22 |         97 |
| linux                                                                                                                                                               |          5 |         98 |         27 |         38 |        163 |
| linux (Files)                                                                                                                                                       |          3 |         86 |         18 |         27 |        131 |
| linux/flutter                                                                                                                                                       |          2 |         12 |          9 |         11 |         32 |
| macos                                                                                                                                                               |          7 |        483 |          6 |         26 |        515 |
| macos (Files)                                                                                                                                                       |          1 |         33 |          1 |         10 |         44 |
| macos/Flutter                                                                                                                                                       |          1 |         12 |          3 |          4 |         19 |
| macos/Runner                                                                                                                                                        |          4 |        431 |          0 |          8 |        439 |
| macos/Runner (Files)                                                                                                                                                |          2 |         20 |          0 |          6 |         26 |
| macos/Runner/Assets.xcassets                                                                                                                                        |          1 |         68 |          0 |          1 |         69 |
| macos/Runner/Assets.xcassets/AppIcon.appiconset                                                                                                                     |          1 |         68 |          0 |          1 |         69 |
| macos/Runner/Base.lproj                                                                                                                                             |          1 |        343 |          0 |          1 |        344 |
| macos/RunnerTests                                                                                                                                                   |          1 |          7 |          2 |          4 |         13 |
| test                                                                                                                                                                |          5 |        232 |         62 |         54 |        348 |
| test (Files)                                                                                                                                                        |          4 |        191 |         51 |         43 |        285 |
| test/fake_datebase_helper                                                                                                                                           |          1 |         41 |         11 |         11 |         63 |
| web                                                                                                                                                                 |          2 |         73 |         16 |          7 |         96 |
| windows                                                                                                                                                             |         10 |        439 |         94 |        143 |        676 |
| windows/flutter                                                                                                                                                     |          2 |         11 |          9 |         11 |         31 |
| windows/runner                                                                                                                                                      |          8 |        428 |         85 |        132 |        645 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                                                                            | language        | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| /Users/puruwo/dev/flutter/kakeibo_v3/README.md                                                                                                                      | Markdown        |         10 |          0 |          7 |         17 |
| /Users/puruwo/dev/flutter/kakeibo_v3/analysis_options.yaml                                                                                                          | YAML            |          3 |         22 |          4 |         29 |
| /Users/puruwo/dev/flutter/kakeibo_v3/android/app/build.gradle                                                                                                       | Gradle          |         51 |          5 |         12 |         68 |
| /Users/puruwo/dev/flutter/kakeibo_v3/android/app/src/debug/AndroidManifest.xml                                                                                      | XML             |          3 |          4 |          1 |          8 |
| /Users/puruwo/dev/flutter/kakeibo_v3/android/app/src/main/AndroidManifest.xml                                                                                       | XML             |         27 |          6 |          1 |         34 |
| /Users/puruwo/dev/flutter/kakeibo_v3/android/app/src/main/res/drawable-v21/launch_background.xml                                                                    | XML             |          4 |          7 |          2 |         13 |
| /Users/puruwo/dev/flutter/kakeibo_v3/android/app/src/main/res/drawable/launch_background.xml                                                                        | XML             |          4 |          7 |          2 |         13 |
| /Users/puruwo/dev/flutter/kakeibo_v3/android/app/src/main/res/values-night/styles.xml                                                                               | XML             |          9 |          9 |          1 |         19 |
| /Users/puruwo/dev/flutter/kakeibo_v3/android/app/src/main/res/values/styles.xml                                                                                     | XML             |          9 |          9 |          1 |         19 |
| /Users/puruwo/dev/flutter/kakeibo_v3/android/app/src/profile/AndroidManifest.xml                                                                                    | XML             |          3 |          4 |          1 |          8 |
| /Users/puruwo/dev/flutter/kakeibo_v3/android/build.gradle                                                                                                           | Gradle          |         26 |          0 |          5 |         31 |
| /Users/puruwo/dev/flutter/kakeibo_v3/android/gradle.properties                                                                                                      | Java Properties |          3 |          0 |          1 |          4 |
| /Users/puruwo/dev/flutter/kakeibo_v3/android/gradle/wrapper/gradle-wrapper.properties                                                                               | Java Properties |          5 |          0 |          1 |          6 |
| /Users/puruwo/dev/flutter/kakeibo_v3/android/settings.gradle                                                                                                        | Gradle          |         24 |          0 |          6 |         30 |
| /Users/puruwo/dev/flutter/kakeibo_v3/assets/images/edit.svg                                                                                                         | XML             |          4 |          0 |          1 |          5 |
| /Users/puruwo/dev/flutter/kakeibo_v3/assets/images/icon_clothes.svg                                                                                                 | XML             |          3 |          0 |          1 |          4 |
| /Users/puruwo/dev/flutter/kakeibo_v3/assets/images/icon_commodity.svg                                                                                               | XML             |          3 |          0 |          1 |          4 |
| /Users/puruwo/dev/flutter/kakeibo_v3/assets/images/icon_extra_income.svg                                                                                            | XML             |          3 |          0 |          1 |          4 |
| /Users/puruwo/dev/flutter/kakeibo_v3/assets/images/icon_favo.svg                                                                                                    | XML             |          3 |          0 |          1 |          4 |
| /Users/puruwo/dev/flutter/kakeibo_v3/assets/images/icon_meal.svg                                                                                                    | XML             |          3 |          0 |          1 |          4 |
| /Users/puruwo/dev/flutter/kakeibo_v3/assets/images/icon_medical.svg                                                                                                 | XML             |          3 |          0 |          1 |          4 |
| /Users/puruwo/dev/flutter/kakeibo_v3/assets/images/icon_others.svg                                                                                                  | XML             |          2 |          0 |          0 |          2 |
| /Users/puruwo/dev/flutter/kakeibo_v3/assets/images/icon_regular_income.svg                                                                                          | XML             |          3 |          0 |          1 |          4 |
| /Users/puruwo/dev/flutter/kakeibo_v3/assets/images/icon_smartphone.svg                                                                                              | XML             |          1 |          0 |          0 |          1 |
| /Users/puruwo/dev/flutter/kakeibo_v3/assets/images/icon_star.svg                                                                                                    | XML             |          1 |          0 |          0 |          1 |
| /Users/puruwo/dev/flutter/kakeibo_v3/assets/images/icon_transportation.svg                                                                                          | XML             |          3 |          0 |          2 |          5 |
| /Users/puruwo/dev/flutter/kakeibo_v3/assets/images/icon_travel.svg                                                                                                  | XML             |          1 |          0 |          0 |          1 |
| /Users/puruwo/dev/flutter/kakeibo_v3/devtools_options.yaml                                                                                                          | YAML            |          1 |          0 |          1 |          2 |
| /Users/puruwo/dev/flutter/kakeibo_v3/ios/Podfile                                                                                                                    | Ruby            |         32 |          3 |         10 |         45 |
| /Users/puruwo/dev/flutter/kakeibo_v3/ios/Runner/AppDelegate.swift                                                                                                   | Swift           |         12 |          0 |          2 |         14 |
| /Users/puruwo/dev/flutter/kakeibo_v3/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json                                                                    | JSON            |        122 |          0 |          1 |        123 |
| /Users/puruwo/dev/flutter/kakeibo_v3/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json                                                                  | JSON            |         23 |          0 |          1 |         24 |
| /Users/puruwo/dev/flutter/kakeibo_v3/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md                                                                      | Markdown        |          3 |          0 |          2 |          5 |
| /Users/puruwo/dev/flutter/kakeibo_v3/ios/Runner/Base.lproj/LaunchScreen.storyboard                                                                                  | XML             |         36 |          1 |          1 |         38 |
| /Users/puruwo/dev/flutter/kakeibo_v3/ios/Runner/Base.lproj/Main.storyboard                                                                                          | XML             |         25 |          1 |          1 |         27 |
| /Users/puruwo/dev/flutter/kakeibo_v3/ios/Runner/Runner-Bridging-Header.h                                                                                            | C++             |          1 |          0 |          1 |          2 |
| /Users/puruwo/dev/flutter/kakeibo_v3/ios/RunnerTests/RunnerTests.swift                                                                                              | Swift           |          7 |          2 |          4 |         13 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/application/calendar/calendar_usecase.dart                                                                                 | Dart            |         97 |         24 |         29 |        150 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/application/category/category_provider.dart                                                                                | Dart            |          5 |          1 |          2 |          8 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/application/category/category_usecase.dart                                                                                 | Dart            |         48 |         10 |         18 |         76 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/application/expense/expense_usecase.dart                                                                                   | Dart            |         42 |          9 |         13 |         64 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/application/expense_history/expense_history_usecase.dart                                                                   | Dart            |         67 |         16 |         29 |        112 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/application/monthly_all_category_card/moothly_all_category_card_usecase.dart                                               | Dart            |         45 |          7 |         13 |         65 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/application/monthly_category_card/moothly_category_card_usecase.dart                                                       | Dart            |         31 |          6 |         11 |         48 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/constant/colors.dart                                                                                                       | Dart            |         49 |          1 |         12 |         62 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/constant/properties.dart                                                                                                   | Dart            |          8 |          2 |          2 |         12 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/constant/strings.dart                                                                                                      | Dart            |         31 |          4 |          9 |         44 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/core/all_category_accounting_entity/all_category_accounting_entity.dart                                             | Dart            |         13 |          3 |          5 |         21 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/core/all_category_accounting_entity/all_category_accounting_entity.freezed.dart                                     | Dart            |        143 |         15 |         26 |        184 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/core/all_category_accounting_entity/all_category_accounting_entity.g.dart                                           | Dart            |         13 |          4 |          5 |         22 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/core/all_category_accounting_entity/all_category_accounting_repository.dart                                         | Dart            |          8 |          2 |          6 |         16 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/core/category_accounting_entity/category_accounting_entity.dart                                                     | Dart            |         17 |          4 |          3 |         24 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/core/category_accounting_entity/category_accounting_entity.freezed.dart                                             | Dart            |        230 |         15 |         26 |        271 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/core/category_accounting_entity/category_accounting_entity.g.dart                                                   | Dart            |         22 |          4 |          5 |         31 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/core/category_accounting_entity/category_accounting_repository.dart                                                 | Dart            |          8 |          2 |          5 |         15 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/core/category_entity/category_entity.dart                                                                           | Dart            |         19 |          2 |          3 |         24 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/core/category_entity/category_entity.freezed.dart                                                                   | Dart            |        264 |         15 |         29 |        308 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/core/category_entity/category_entity.g.dart                                                                         | Dart            |         23 |          4 |          5 |         32 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/core/daily_expense_entity/daily_expense_entity.dart                                                                 | Dart            |         13 |          3 |          3 |         19 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/core/daily_expense_entity/daily_expense_entity.freezed.dart                                                         | Dart            |        132 |         15 |         26 |        173 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/core/daily_expense_entity/daily_expense_entity.g.dart                                                               | Dart            |         13 |          4 |          5 |         22 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/core/daily_expense_entity/daily_expense_repository.dart                                                             | Dart            |          8 |          3 |          5 |         16 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/core/month_period_value/month_period_repository.dart                                                                | Dart            |          8 |          3 |          5 |         16 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/core/month_period_value/month_period_value.dart                                                                     | Dart            |          9 |          1 |          3 |         13 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/core/month_period_value/month_period_value.freezed.dart                                                             | Dart            |        117 |         15 |         23 |        155 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/db/aggregation_start_day_entity/aggregation_start_day_entity.dart                                                   | Dart            |          8 |          1 |          3 |         12 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/db/aggregation_start_day_entity/aggregation_start_day_entity.freezed.dart                                           | Dart            |        101 |         15 |         23 |        139 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/db/aggregation_start_day_entity/aggregation_start_day_repository.dart                                               | Dart            |          8 |          2 |          6 |         16 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/db/expense/expense_entity.dart                                                                                      | Dart            |         16 |          3 |          5 |         24 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/db/expense/expense_entity.freezed.dart                                                                              | Dart            |        190 |         15 |         26 |        231 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/db/expense/expense_entity.g.dart                                                                                    | Dart            |         17 |          4 |          5 |         26 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/db/expense/expense_repository.dart                                                                                  | Dart            |         12 |          4 |          8 |         24 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/db/expense_big_ctegory/expense_big_category_entity.dart                                                             | Dart            |         32 |          4 |          8 |         44 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/db/expense_big_ctegory/expense_big_category_entity.freezed.dart                                                     | Dart            |        227 |         15 |         26 |        268 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/db/expense_big_ctegory/expense_big_category_entity.g.dart                                                           | Dart            |         21 |          4 |          5 |         30 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/db/expense_big_ctegory/expense_big_category_repository.dart                                                         | Dart            |          9 |          4 |          6 |         19 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/db/expense_small_category/expense_small_category_entity.dart                                                        | Dart            |         32 |          2 |          7 |         41 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/db/expense_small_category/expense_small_category_entity.freezed.dart                                                | Dart            |        228 |         15 |         26 |        269 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/db/expense_small_category/expense_small_category_entity.g.dart                                                      | Dart            |         21 |          4 |          5 |         30 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/db/expense_small_category/expense_small_category_repository.dart                                                    | Dart            |         10 |          5 |          7 |         22 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/ui_value/calendar/calendar_tile_entity.dart                                                                         | Dart            |         14 |          1 |          3 |         18 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/ui_value/calendar/calendar_tile_entity.freezed.dart                                                                 | Dart            |        226 |         15 |         23 |        264 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/ui_value/category_card_value/all_category_card_value/all_category_card_entity.dart                                  | Dart            |         15 |          1 |          3 |         19 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/ui_value/category_card_value/all_category_card_value/all_category_card_entity.freezed.dart                          | Dart            |        291 |         20 |         27 |        338 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/ui_value/category_card_value/category_card_value/category_card_entity.dart                                          | Dart            |         11 |          1 |          2 |         14 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/ui_value/category_card_value/category_card_value/category_card_entity.freezed.dart                                  | Dart            |        146 |         16 |         26 |        188 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/ui_value/category_card_value/category_card_value/small_category_tile_entity/small_category_tile_entity.dart         | Dart            |         15 |          2 |          3 |         20 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/ui_value/category_card_value/category_card_value/small_category_tile_entity/small_category_tile_entity.freezed.dart | Dart            |        190 |         15 |         26 |        231 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/ui_value/category_card_value/category_card_value/small_category_tile_entity/small_category_tile_entity.g.dart       | Dart            |         18 |          4 |          5 |         27 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/ui_value/category_card_value/category_card_value/small_category_tile_entity/small_category_tile_repository.dart     | Dart            |          8 |          2 |          5 |         15 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/ui_value/expense_history_tile_value/expense_history_tile_group_value.dart                                           | Dart            |         10 |          2 |          4 |         16 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/ui_value/expense_history_tile_value/expense_history_tile_group_value.freezed.dart                                   | Dart            |        141 |         16 |         23 |        180 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/ui_value/expense_history_tile_value/expense_history_tile_value/expense_history_tile_value.dart                      | Dart            |         16 |          2 |          4 |         22 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain/ui_value/expense_history_tile_value/expense_history_tile_value/expense_history_tile_value.freezed.dart              | Dart            |        280 |         15 |         23 |        318 |
| /Users/puruwo/dev/flutter/kakeibo_v3/lib/domain_service/month_period_service/month_period_service.dart                                                              | Dart            |         46 |         16 |         20 |         82 |
