問題の種類,該当ファイルパス,具体的な問題内容,推奨対応
不統一,"lib/constant/styles/monthly_page_styles.dart, lib/constant/styles/app_text_styles.dart",Colors.white と MyColors.white が混在。fixedCost系のスタイルではColors.white/Colors.white70/Colors.white54を使用し、他のスタイルではMyColors.whiteを使用,MyColors.white に統一する。white70/white54はMyColorsに追加するか、opacity指定に変更する
不統一,lib/constant/styles/app_text_styles.dart,"fontSize: 25.0 (inputExpenseText)のように.0が付いているものと、fontSize: 25 のように整数で書かれているものが混在",整数に統一する(25.0 → 25)
copyWith多用,lib/view/register_page/common_input_field/memo_input_field.dart,"RegisterPageStyles.placeHolder.copyWith(fontSize: 15) でfontSizeだけ17→15に変更。placeHolderの派生スタイルを定数化すべき",RegisterPageStyles.placeHolderSmall 等の定数を追加する
copyWith多用,lib/view/daily_expense_summary_page/daily_expense_summary_page.dart,"AppTextStyles.listTileSecondaryTitle.copyWith(fontSize: 14) でfontSizeだけ11→14に変更",AppTextStyles.listTileSecondaryTitle のfontSize:14版を定数化する
copyWith多用,lib/util/common_widget/app_delete_dialog.dart,"AppTextStyles.mainButtonText.copyWith(color: isPrimary ? MyColors.white : MyColors.white) で条件分岐が意味をなしていない(両方MyColors.white)",不要なcopyWithを削除し、固定のスタイルとして定数化する
copyWith多用,lib/util/common_widget/app_dialog.dart,"AppTextStyles.dialogList.copyWith(fontWeight: FontWeight.w600) でfontWeightだけw300→w600に変更",dialogCancelButton 等の専用定数を追加する
copyWith多用,lib/view/register_page/common_input_field/price_input_row/large_price_display.dart,"RegisterPageStyles.yenSymbol(...).copyWith(height: 1) でheightだけ追加",yenSymbol関数にheightパラメータを追加する
未使用定数,lib/constant/styles/app_text_styles.dart,"AppTextStyles.dialogLabel - コメントに「現在未使用（将来の拡張用）」と明記",不要なら削除する。使用予定があるなら残す
未使用定数,lib/constant/styles/app_text_styles.dart,"AppTextStyles.dialogList - コメントに「現在未使用（将来の拡張用）」と明記（ただしapp_dialog.dartでcopyWithで使用あり）",使用箇所のコメントを更新する
未使用定数,lib/constant/styles/app_text_styles.dart,"AppTextStyles.whiteButtonText - コメントに「現在未使用（将来の拡張用）」と明記",不要なら削除する
未使用定数,lib/constant/styles/app_text_styles.dart,"AppTextStyles.cardSectionTitle - コード検索で使用箇所が見つからない",不要なら削除する
未使用定数,lib/constant/styles/monthly_page_styles.dart,"MonthlyPageStyles.fixedCostPageTitle - 定数が定義されているが使用箇所が見つからない",不要なら削除する
MyFontStyle未使用,lib/constant/styles/app_text_styles.dart,"AppTextStyles内で13個のスタイルがGoogleFonts.notoSans()を使用しMyFontStyleを経由していない(dialogTitle/dialogLabel/dialogList/selectedLabelStyle/unselectedLabelStyle/mainButtonText/oneLineButtonText/oneLineButtonSubText/listEmptyMessage/secondaryButtonText/whiteButtonText/appCardGraphLabel/popupMenuItemLabel)",MyFontStyle.notoSans.copyWith() に統一する。同ファイル内の他スタイル(errorMessage/cardSectionTitle等)はMyFontStyleを使用しており一貫性がない
MyFontStyle未使用,lib/constant/styles/register_page_styles.dart,"RegisterPageStyles内の全スタイルがMyFontStyleを使用していない。GoogleFonts.notoSans()(2個) / TextStyle(fontFamily直指定)(1個) / TextStyle(fontFamily未指定)(8個)で定義",MyFontStyle.notoSans.copyWith() または MyFontStyle.sfUi.copyWith() に統一する
MyFontStyle未使用,lib/constant/styles/monthly_page_styles.dart,"MonthlyPageStyles内の全28スタイルがMyFontStyleを使用していない。GoogleFonts.notoSans()(18個) / TextStyle(fontFamily直指定)(2個) / TextStyle(fontFamily未指定)(8個)で定義",MyFontStyle経由に統一する。特にfontFamily未指定の8個(fixedCost系)はフォントがデフォルトに戻ってしまうリスクあり
MyFontStyle未使用,lib/constant/styles/category_styles.dart,"CategoryStyles内の全13スタイルがMyFontStyleを使用していない。GoogleFonts.notoSans()(11個) / GoogleFonts.sfUi(fontFamily直指定)(2個)で定義",MyFontStyle経由に統一する
MyFontStyle未使用,lib/constant/styles/budget_settings_styles.dart,"BudgetSettingsStyles内の全6スタイルがMyFontStyleを使用していない。GoogleFonts.notoSans()(4個) / GoogleFonts.sfUi(fontFamily直指定)(2個)で定義",MyFontStyle経由に統一する
MyFontStyle未使用,"lib/constant/styles/calendar_styles.dart, lib/constant/styles/graph_text_styles.dart, lib/constant/styles/yearly_income_list_styles.dart","これら3ファイルは全スタイルがMyFontStyle経由で定義されており、理想的なパターン",変更不要。他ファイルのお手本として参照すべき
MyFontStyle不統一(全体),lib/constant/styles/ (全ファイル),"全110個のスタイル定数のうちMyFontStyle使用は40個(36%)、GoogleFonts直接使用は52個(47%)、TextStyle直書きは18個(16%)。ファイル単位で見ると完全にMyFontStyle使用(3ファイル)と完全に未使用(5ファイル)に二極化しており、app_text_styles.dartだけが混在",全スタイルをMyFontStyle.notoSans.copyWith() / MyFontStyle.sfUi.copyWith() に統一するリファクタリングを推奨。GoogleFontsパッケージへの直接依存を減らし、将来のフォント変更にも一箇所で対応可能になる
