provider_name,provider_type,return_type,layer,family,auto_dispose,keep_alive,file_path,summary,dependencies
aggregationRepresentativeMonthServiceProvider,Provider,AggregationRepresentativeMonthService,Service,false,false,false,lib/domain_service/month_period_service/aggregation_representative_month_service.dart,集計代表月決定,
yearPeriodServiceProvider,Provider,YearPeriodService,Service,false,false,false,lib/domain_service/year_period_service/year_period_service.dart,年の期間計算サービス,
aggregationRepresentativeYearServiceProvider,Provider,AggregationRepresentativeYearService,Service,false,false,false,lib/domain_service/year_period_service/aggregation_representative_year_service.dart,集計代表年決定,
fixedCostExpenseServiceProvider,Provider,FixedCostExpenseService,Service,false,false,false,lib/application/fixed_cost_expense/fixed_cost_expense_service.dart,固定費支出処理サービス,
aggregationStartDayProvider,Provider,AggregationStartDayService,Service,false,false,false,lib/domain_service/month_period_service/aggregation_start_day_provider.dart,集計開始日プロバイダー,aggregationStartDayRepositoryProvider
monthBasisProvider,Provider,MonthBasisService,Service,false,false,false,lib/domain_service/month_period_service/month_basis_provider.dart,月基準プロバイダー,monthBasisRepositoryProvider
aggregationStartMonthProvider,Provider,AggregationStartMonthService,Service,false,false,false,lib/domain_service/year_period_service/aggregation_start_month_provider.dart,年の集計開始月プロバイダー,aggregationStartMonthRepositoryProvider
yearBasisProvider,Provider,YearBasisService,Service,false,false,false,lib/domain_service/year_period_service/month_basis_provider.dart,年基準プロバイダー,yearBasisRepositoryProvider
budgetUsecaseProvider,Provider,BudgetUsecase,Usecase,false,false,false,lib/application/budget/budget_usecase.dart,予算データの取得・編集,budgetRepositoryProvider
categoryUsecaseProvider,Provider,CategoryUsecase,Usecase,false,false,false,lib/application/category/category_usecase.dart,支出カテゴリー管理ユースケース,expensebigCategoryRepositoryProvider / expenseSmallCategoryRepositoryProvider
incomeCategoryUsecaseProvider,Provider,IncomeCategoryUsecase,Usecase,false,false,false,lib/application/category/income_category_usecase.dart,収入カテゴリー管理,incomeBigCategoryRepositoryProvider / incomeSmallCategoryRepositoryProvider
fixedCostCategoryUsecaseProvider,Provider,FixedCostCategoryUsecase,Usecase,false,false,false,lib/application/fixed_cost_category/fixed_cost_category_usecase.dart,固定費カテゴリー管理,fixedCostCategoryRepositoryProvider
incomeUsecaseProvider,Provider,IncomeUsecase,Usecase,false,false,false,lib/application/income/income_usecase.dart,収入トランザクション管理,incomeRepositoryProvider
expenseUsecaseProvider,Provider,ExpenseUsecase,Usecase,false,false,false,lib/application/expense/expense_usecase.dart,支出トランザクション管理,expenseRepositoryProvider
fixedCostUsecaseProvider,Provider,FixedCostUsecase,Usecase,false,false,false,lib/application/fixed_cost/fixed_cost_usecase.dart,固定費マスター管理,fixedCostRepositoryProvider
fixedCostExpenseUsecaseProvider,Provider,FixedCostExpenseUsecase,Usecase,false,false,false,lib/application/fixed_cost_expense/fixed_cost_expense_usecase.dart,固定費支出管理,fixedCostExpenseRepositoryProvider
exportUsecaseProvider,Provider,ExportUsecase,Usecase,false,false,false,lib/application/export/export_usecase.dart,CSV出力ユースケース,expenseRepositoryProvider / incomeRepositoryProvider
batchProcessUsecaseProvider,Provider,BatchProcessUsecase,Usecase,false,false,false,lib/batch/batch_history_usecase.dart,バッチ処理管理（毎月の固定費生成）,batchHistoryRepositoryProvider / fixedCostRepositoryProvider / fixedCostExpenseRepositoryProvider
predictionGraphUsecaseProvider,Provider,PredictionGraphUsecase,Usecase,false,false,false,lib/application/prediction_graph/prediction_graph_usecase.dart,支出予測グラフ計算,expenseRepositoryProvider
systemDatetimeNotifierProvider,NotifierProvider,DateTime,GlobalState,false,false,true,lib/domain_service/system_datetime/system_datetime.dart,アプリ起動時点の日時を管理（keepAlive）,
homeDateScopeEntityProvider,AsyncNotifierProvider,DateScopeEntity,GlobalState,false,false,false,lib/view_model/state/date_scope/home_page/home_date_scope.dart,ホームページ用の日付スコープ,homeSelectedDatetimeNotifierProvider / monthPeriodServiceProvider / aggregationRepresentativeMonthServiceProvider / yearPeriodServiceProvider / aggregationRepresentativeYearServiceProvider / monthIndexServiceProvider / periodStatusServiceProvider
analyzePageDateScopeEntityProvider,AsyncNotifierProvider,DateScopeEntity,GlobalState,false,false,false,lib/view_model/state/date_scope/analyze_page/analyze_page_date_scope.dart,分析ページ用の日付スコープ,analyzePageSelectedDatetimeNotifierProvider / monthPeriodServiceProvider / aggregationRepresentativeMonthServiceProvider / yearPeriodServiceProvider / aggregationRepresentativeYearServiceProvider / monthIndexServiceProvider / periodStatusServiceProvider
historicalDateScopeEntityProvider,AsyncNotifierProvider,DateScopeEntity,GlobalState,false,false,false,lib/view_model/state/date_scope/historical_page/historical_date_scope.dart,履歴ページ用の日付スコープ,historicalSelectedDatetimeNotifierProvider / monthPeriodServiceProvider / aggregationRepresentativeMonthServiceProvider / yearPeriodServiceProvider / aggregationRepresentativeYearServiceProvider / monthIndexServiceProvider / periodStatusServiceProvider
updateDBCountNotifierProvider,AutoDisposeNotifierProvider,int,GlobalState,false,true,false,lib/view_model/state/update_DB_count.dart,DB更新カウンター。全データ系Providerがwatchしてリフレッシュトリガーに使用,
navigationBarNumberNotifierProvider,NotifierProvider,int,GlobalState,false,false,true,lib/view_model/state/navigation_bar_number.dart,ナビゲーション画面選択インデックス（keepAlive）,
pageManagerNotifierProvider,NotifierProvider,int,GlobalState,false,false,true,lib/view_model/state/page_manager/page_manager.dart,ページスクロール位置管理（keepAlive）,
initialOpenNotifierProvider,NotifierProvider,bool,GlobalState,false,false,true,lib/view_model/state/initial_open.dart,アプリ初期開放フラグ（keepAlive）,
homeSelectedDatetimeNotifierProvider,NotifierProvider,DateTime,State,false,false,false,lib/view_model/state/date_scope/home_page/selected_datetime/home_selected_datetime.dart,ホームページの選択日付,systemDatetimeNotifierProvider
analyzePageSelectedDatetimeNotifierProvider,NotifierProvider,DateTime,State,false,false,false,lib/view_model/state/date_scope/analyze_page/selected_datetime/analyze_page_selected_datetime.dart,分析ページの選択日付,systemDatetimeNotifierProvider
historicalSelectedDatetimeNotifierProvider,NotifierProvider,DateTime,State,false,false,false,lib/view_model/state/date_scope/historical_page/selected_datetime/historical_selected_datetime.dart,履歴ページの選択日付,systemDatetimeNotifierProvider
editModeNotifierProvider,AutoDisposeNotifierProvider,bool,State,false,true,false,lib/view_model/state/category_edit_page/edit_mode.dart,カテゴリー編集モード切り替え,
inputDateControllerNotifierProvider,AutoDisposeNotifierProvider,DateTime,State,false,true,false,lib/view_model/state/register_page/input_date_controller/input_date_controller.dart,入力日付コントローラー,systemDatetimeNotifierProvider
registerScreenModeNotifierProvider,AutoDisposeNotifierProvider,RegisterScreenMode,State,false,true,false,lib/view_model/state/register_page/register_screen_mode/register_screen_mode.dart,トランザクション種類選択（支出/収入/固定費）,
priceTypeSwitchControllerNotifierProvider,AutoDisposeNotifierProvider,bool,State,false,true,false,lib/view_model/state/register_page/price_type_switch_controller/price_type_switch_controller.dart,金額タイプスイッチ（固定/変動）,
paymentFrequencyControllerNotifierProvider,AutoDisposeNotifierProvider,PaymentFrequencyValue,State,false,true,false,lib/view_model/state/register_page/payment_frequency_controller/payment_frequency_controller.dart,支払い頻度コントローラー,
enteredIncomeSourceControllerNotifierProvider,AutoDisposeNotifierProvider,int,State,false,true,false,lib/view_model/state/register_page/entered_income_source_controller/entered_income_source_controller.dart,収入源入力コントローラー（月次/ボーナス）,
selectCategoryControllerNotifierProvider,AutoDisposeNotifierProvider,ICategoryEntity,State,false,true,false,lib/view_model/state/register_page/select_category_controller/select_category_controller.dart,カテゴリー選択コントローラー,
enteredPriceControllerProvider,Provider,TextEditingController,State,false,true,false,lib/view_model/state/register_page/entered_price_controller.dart,金額入力テキストフィールドコントローラー,
enteredMemoControllerProvider,Provider,TextEditingController,State,false,true,false,lib/view_model/state/register_page/entered_memo_controller.dart,メモ入力テキストフィールドコントローラー,
inputInitializedControllerProvider,StateProvider,bool,State,false,true,false,lib/view_model/state/register_page/input_initialized_controller.dart,入力フィールド初期化フラグ,
inputModeControllerProvider,AutoDisposeNotifierProvider,TransactionMode,State,false,true,false,lib/view_model/state/input_mode_controller.dart,入力モード（支出/固定費/収入）全体制御,
edittingBigCategoryListNotifierProvider,AutoDisposeNotifierProvider,List<EditExpenseBigCategoryValue>,State,false,true,false,lib/view_model/state/big_category_edit_page/editting_big_category_list/editting_big_category_list.dart,編集中大カテゴリーリスト（並び替え含む）,
isBigCategoryListEditedNotifierProvider,NotifierProvider,bool,State,false,false,false,lib/view_model/state/big_category_edit_page/is_big_category_list_edited/is_big_category_list_edited.dart,大カテゴリー編集フラグ（保存前変更検知）,
reorderingCategoryListNotifierProvider,AutoDisposeNotifierProvider,ReorderingState,State,false,true,false,lib/view_model/state/category_reorder/reordering_category_list.dart,カテゴリー並び替え中リスト,
bigCategroyIconControllerNotifierProvider,AutoDisposeNotifierProvider,String,State,false,true,false,lib/view_model/state/big_category_detail_edit_page/big_category_icon_contoroller/big_category_icon_contoroller.dart,大カテゴリーアイコンコントローラー,isBigCategoryAppearanceEditedNotifierProvider
bigCategroyColorControllerNotifierProvider,AutoDisposeNotifierProvider,Color,State,false,true,false,lib/view_model/state/big_category_detail_edit_page/big_category_color_contoroller/big_category_color_contoroller.dart,大カテゴリーカラーコントローラー,isBigCategoryAppearanceEditedNotifierProvider
isBigCategoryAppearanceEditedNotifierProvider,NotifierProvider,bool,State,false,false,false,lib/view_model/state/big_category_detail_edit_page/is_big_category_appearance_edited/is_big_category_appearance_edited.dart,大カテゴリー外観編集フラグ,
isSmallCategoryListEditedNotifierProvider,NotifierProvider,bool,State,false,false,false,lib/view_model/state/big_category_detail_edit_page/is_small_category_list_edited/is_small_category_list_edited.dart,小カテゴリー編集フラグ（保存前変更検知）,
edittingSmallCategoryListNotifierProvider,NotifierProvider,List<EditExpenseSmallCategoryValue>,State,false,false,false,"lib/view_model/state/big_category_detail_edit_page/editting_small_category_edit_list copy/editting_small_category_edit_list.dart",編集中小カテゴリーリスト,
edittingFixedCostCategoryListNotifierProvider,AutoDisposeNotifierProvider,List<EditFixedCostCategoryValue>,State,false,true,false,lib/view_model/state/fixed_cost_category_edit_page/editting_fixed_cost_category_list/editting_fixed_cost_category_list.dart,編集中固定費カテゴリーリスト,
isFixedCostCategoryListEditedNotifierProvider,NotifierProvider,bool,State,false,false,false,lib/view_model/state/fixed_cost_category_edit_page/is_fixed_cost_category_list_edited/is_fixed_cost_category_list_edited.dart,固定費カテゴリー編集フラグ,
fixedCostCategoryNameControllerNotifierProvider,NotifierProvider,String,State,false,false,false,lib/view_model/state/fixed_cost_category_detail_edit_page/fixed_cost_category_name_controller/fixed_cost_category_name_controller.dart,固定費カテゴリー名コントローラー,
fixedCostCategoryIconControllerNotifierProvider,NotifierProvider,String,State,false,false,false,lib/view_model/state/fixed_cost_category_detail_edit_page/fixed_cost_category_icon_controller/fixed_cost_category_icon_controller.dart,固定費カテゴリーアイコンコントローラー,
fixedCostCategoryColorControllerNotifierProvider,NotifierProvider,Color,State,false,false,false,lib/view_model/state/fixed_cost_category_detail_edit_page/fixed_cost_category_color_controller/fixed_cost_category_color_controller.dart,固定費カテゴリーカラーコントローラー,
isPriceEditedNotifierProvider,NotifierProvider,bool,State,false,false,false,lib/view_model/state/budget_edit_page/is_price_edited/is_price_edited.dart,予算金額編集フラグ（保存前変更検知）,
editingBudgetPricesProvider,StateProvider,,State,false,true,false,lib/view_model/state/budget_edit_page/editing_budget_prices/editing_budget_prices.dart,編集中予算金額リスト,
enteredBudgetPriceControllerProvider,Provider,,State,false,true,false,lib/view_model/state/budget_edit_page/price_controller/price_controller.dart,予算金額入力コントローラー,
selectedTabControllerNotifierProvider,AutoDisposeNotifierProvider,SelectedTab,State,false,true,false,lib/view_model/state/bonus_home_page/selected_tab_controller/selected_tab_controller.dart,ボーナスページタブ選択,
calendarPageControllerNotifierProvider,AutoDisposeNotifierProvider,PageController,State,false,true,false,lib/view_model/state/calendar_page/page_controller/calendar_page_controller.dart,カレンダーPageViewコントローラー,pageManagerNotifierProvider
isDateboxSelectedProvider,Provider,bool,State,true,true,false,lib/view_model/state/calendar_page/is_datebox_selected/is_datebox_selected.dart,カレンダーボックス選択状態（日付ごと）,
footerStateControllerNotifierProvider,AutoDisposeNotifierProvider,TabState,State,false,true,false,lib/view_model/state/monthly_plan_page/footer_state_controller/footer_state_controller.dart,月計画ページフッター状態,
budgetProvider,FutureProvider,List<BudgetEditValue>,AsyncData,true,true,false,lib/application/budget/budget_provider.dart,予算データ取得,budgetUsecaseProvider / updateDBCountNotifierProvider
allCategoriesProvider,FutureProvider,List<ExpenseCategoryEntity>,AsyncData,false,true,false,lib/application/category/category_provider.dart,全支出カテゴリー取得,categoryUsecaseProvider / updateDBCountNotifierProvider
allBigCategoriesWithSmallListProvider,FutureProvider,List<EditExpenseBigCategoryValue>,AsyncData,false,true,false,lib/application/category/category_provider.dart,大カテゴリー+小カテゴリー取得,categoryUsecaseProvider / updateDBCountNotifierProvider
allSmallCategoriesListProvider,FutureProvider,List<EditExpenseSmallCategoryValue>,AsyncData,true,true,false,lib/application/category/category_provider.dart,特定大カテゴリーの小カテゴリー取得,categoryUsecaseProvider / updateDBCountNotifierProvider
bigCategoriesProvider,FutureProvider,ExpenseBigCategoryEntity,AsyncData,true,true,false,lib/application/category/category_provider.dart,特定大カテゴリー取得,categoryUsecaseProvider / updateDBCountNotifierProvider
allIncomeBigCategoriesProvider,FutureProvider,List<IncomeBigCategoryEntity>,AsyncData,false,true,false,lib/application/category/income_category_provider.dart,収入大カテゴリー一覧,incomeCategoryUsecaseProvider / updateDBCountNotifierProvider
allIncomeCategoriesProvider,FutureProvider,List<IncomeCategoryEntity>,AsyncData,false,true,false,lib/application/category/income_category_provider.dart,全収入カテゴリー取得,incomeCategoryUsecaseProvider / updateDBCountNotifierProvider
anIncomeBigCategoryProvider,FutureProvider,IncomeBigCategoryEntity,AsyncData,true,true,false,lib/application/category/income_category_provider.dart,特定収入大カテゴリー取得,incomeCategoryUsecaseProvider / updateDBCountNotifierProvider
anIncomeCategoryProvider,FutureProvider,IncomeCategoryEntity,AsyncData,true,true,false,lib/application/category/income_category_provider.dart,特定収入カテゴリー取得,incomeCategoryUsecaseProvider / updateDBCountNotifierProvider
allFixedCostCategoriesProvider,FutureProvider,List<FixedCostCategoryEntity>,AsyncData,false,true,false,lib/application/fixed_cost_category/fixed_cost_category_provider.dart,固定費カテゴリー一覧取得,fixedCostCategoryUsecaseProvider / updateDBCountNotifierProvider
activeFixedCostCountProvider,FutureProvider,int,AsyncData,false,false,false,lib/application/fixed_cost/active_fixed_cost_count_provider.dart,有効固定費件数（未削除）,fixedCostRepositoryProvider / updateDBCountNotifierProvider
exportProvider,FutureProvider,void,AsyncData,false,true,false,lib/application/export/export_provider.dart,CSV出力実行,exportUsecaseProvider
predictionGraphDataProvider,FutureProvider,PredictionGraphValue,AsyncData,true,false,false,lib/application/prediction_graph/prediction_graph_provider.dart,支出予測グラフデータ計算,predictionGraphUsecaseProvider / updateDBCountNotifierProvider
calendarUsecaseNotifierProvider,AsyncNotifierProvider,List<List<CalendarTileEntity>>,AsyncData,true,false,false,lib/application/calendar/calendar_usecase.dart,カレンダータイル取得（月×日マトリクス）,dailyExpenseRepositoryProvider / updateDBCountNotifierProvider
incomeHistoryNotifierProvider,AsyncNotifierProvider,List<IncomeHistoryTileValue>,AsyncData,true,false,false,lib/application/income_history/income_history_usecase.dart,収入履歴取得,incomeRepositoryProvider / updateDBCountNotifierProvider
bonusExpenseHistoryDigestNotifierProvider,AsyncNotifierProvider,List<ExpenseHistoryTileValue>,AsyncData,true,false,false,lib/application/expense_history/bonus_expense_history_digest_usecase.dart,ボーナス支出履歴取得,expenseRepositoryProvider / updateDBCountNotifierProvider
expenseHistoryDigestNotifierProvider,AsyncNotifierProvider,List<ExpenseHistoryTileValue>,AsyncData,true,false,false,lib/application/expense_history/expense_history_digest_usecase.dart,支出履歴取得（日付グループなし）,expenseRepositoryProvider / updateDBCountNotifierProvider
historicalTransactionNotifierProvider,AsyncNotifierProvider,HistoricalAllTransactionsValue,AsyncData,true,false,false,lib/application/expense_history/historical_transaction_usecase.dart,全トランザクション履歴取得（支出+固定費+収入統合）,incomeHistoryNotifierProvider / bonusExpenseHistoryDigestNotifierProvider / monthlyFixedCostNotifierProvider
monthlyCategoryCardNotifierProvider,AsyncNotifierProvider,List<CategoryCardEntity>,AsyncData,true,false,false,lib/application/monthly_category_card/moothly_category_card_usecase.dart,月次カテゴリーカード取得,categoryAccountingRepositoryProvider / updateDBCountNotifierProvider
monthlySelectedCategoryCardNotifierProvider,AsyncNotifierProvider,CategoryCardEntity,AsyncData,true,false,false,lib/application/monthly_category_card/moothly_selected_category_card_usecase.dart,月次特定カテゴリーカード取得,categoryAccountingRepositoryProvider / updateDBCountNotifierProvider
monthlyAllCategoryCardNotifierProvider,AsyncNotifierProvider,MonthPlanCardModel,AsyncData,true,false,false,lib/application/monthly_all_category_card/moothly_all_category_card_usecase.dart,月次全カテゴリーサマリー取得,categoryAccountingRepositoryProvider / updateDBCountNotifierProvider
annualBalanceChartNotifierProvider,AsyncNotifierProvider,AnnualBalanceChartValue,AsyncData,true,false,false,lib/application/annual_balance_chart_usecase/annual_balance_chart_usecase.dart,年間収支グラフデータ取得,incomeRepositoryProvider / expenseRepositoryProvider / updateDBCountNotifierProvider
yearlyBalanceNotifierProvider,AsyncNotifierProvider,YearlyBalanceValue,AsyncData,true,false,false,lib/application/yearly_balance_usecase/yearly_balance_usecase.dart,年間収支サマリー取得,incomeRepositoryProvider / expenseRepositoryProvider / updateDBCountNotifierProvider
yearlyIncomeListNotifierProvider,AsyncNotifierProvider,YearlyIncomeListValue,AsyncData,true,false,false,lib/application/yearly_income_list/yearly_income_list_usecase.dart,年間収入一覧取得,incomeRepositoryProvider / updateDBCountNotifierProvider
bonusPlanNotifierProvider,AsyncNotifierProvider,BonusPlanValue,AsyncData,true,false,false,lib/application/bonus_plan_usecase/bonus_plan_usecase.dart,ボーナス予定取得,incomeRepositoryProvider / updateDBCountNotifierProvider
monthlyFixedCostNotifierProvider,AsyncNotifierProvider,List<MonthlyConfirmedFixedCostTileValue>,AsyncData,true,false,false,lib/application/fixed_cost_read/monthly_fixed_cost_usecase.dart,月次確定固定費取得,fixedCostExpenseRepositoryProvider / updateDBCountNotifierProvider
monthlyFixedCostSummaryNotifierProvider,AsyncNotifierProvider,MonthlyFixedCostSummaryValue,AsyncData,true,false,false,lib/application/fixed_cost_read/monthly_fixed_cost_summary_usecase.dart,月次固定費サマリー取得,fixedCostExpenseRepositoryProvider / updateDBCountNotifierProvider
monthlyUnconfirmedFixedCostNotifierProvider,AsyncNotifierProvider,List<MonthlyUnconfirmedFixedCostTileValue>,AsyncData,true,false,false,lib/application/fixed_cost_read/monthly_unconfirmed_fixed_cost_usecase.dart,月次未確定固定費取得,fixedCostExpenseRepositoryProvider / updateDBCountNotifierProvider
monthlyFixedCostCategorySummaryNotifierProvider,AsyncNotifierProvider,List<MonthlyFixedCostCategorySummaryValue>,AsyncData,true,false,false,lib/application/fixed_cost_read/monthly_fixed_cost_category_summary_usecase.dart,月次固定費カテゴリーサマリー取得,fixedCostExpenseRepositoryProvider / updateDBCountNotifierProvider
monthlyFixedCostByCategoryNotifierProvider,AsyncNotifierProvider,List<MonthlyFixedCostByCategoryGroup>,AsyncData,true,false,false,lib/application/fixed_cost_read/monthly_fixed_cost_by_category_usecase.dart,月次カテゴリー別固定費取得,fixedCostExpenseRepositoryProvider / updateDBCountNotifierProvider
fixedCostRegistrationListNotifierProvider,AsyncNotifierProvider,FixedCostRegistrationListValue,AsyncData,false,false,false,lib/application/fixed_cost_read/fixed_cost_registration_list_usecase.dart,固定費登録一覧取得（マスター）,fixedCostRepositoryProvider / updateDBCountNotifierProvider
bigCategoryExpenseHistoryNotifierProvider,AsyncNotifierProvider,List<ExpenseHistoryTileGroupValue>,AsyncData,true,false,false,lib/application/expense_history/big_category_expense_history_usecase/big_category_expense_history_usecase.dart,大カテゴリー支出履歴取得,expenseRepositoryProvider / updateDBCountNotifierProvider
smallCategoryExpenseHistoryNotifierProvider,AsyncNotifierProvider,List<ExpenseHistoryTileGroupValue>,AsyncData,true,false,false,lib/application/expense_history/small_category_expense_history_usecase/small_category_expense_history_usecase.dart,小カテゴリー支出履歴取得,expenseRepositoryProvider / updateDBCountNotifierProvider
categoryByModeProvider,FutureProvider,,AsyncData,false,false,false,lib/application/category/category_selection_provider.dart,取引モード別カテゴリー取得,categoryUsecaseProvider / incomeCategoryUsecaseProvider / fixedCostCategoryUsecaseProvider
categoriesByModeProvider,FutureProvider,,AsyncData,false,false,false,lib/application/category/category_selection_provider.dart,取引モード別カテゴリー一覧取得,categoryUsecaseProvider / incomeCategoryUsecaseProvider / fixedCostCategoryUsecaseProvider
categoryPaginationProvider,Provider,,AsyncData,false,false,false,lib/application/category/category_selection_provider.dart,カテゴリーページネーション計算,
resolvedAllCategoryTileEntityProvider,FutureProvider,,MiddleProvider,false,false,false,lib/view_model/middle_provider/resolved_all_category_tile_entity_provider/resolved_category_tile_entity_provider.dart,全カテゴリータイル取得（日付スコープ解決済み）,analyzePageDateScopeEntityProvider / monthlyCategoryCardNotifierProvider
resolvedCategoryTileEntityProvider,FutureProvider,,MiddleProvider,true,false,false,lib/view_model/middle_provider/resolved_all_category_tile_entity_provider/resolved_category_tile_entity_provider.dart,特定カテゴリータイル取得（日付スコープ解決済み）,analyzePageDateScopeEntityProvider / monthlySelectedCategoryCardNotifierProvider
resolvedCategoryExpenseHistoryDigestValueProvider,FutureProvider,,MiddleProvider,true,false,false,lib/view_model/middle_provider/resolved_all_category_tile_entity_provider/resolved_expense_history_value_provider.dart,大カテゴリー支出履歴取得（日付スコープ解決済み）,analyzePageDateScopeEntityProvider / bigCategoryExpenseHistoryNotifierProvider
resolvedSmallCategoryExpenseHistoryDigestValueProvider,FutureProvider,,MiddleProvider,true,false,false,lib/view_model/middle_provider/resolved_all_category_tile_entity_provider/resolved_expense_history_value_provider.dart,小カテゴリー支出履歴取得（日付スコープ解決済み）,analyzePageDateScopeEntityProvider / smallCategoryExpenseHistoryNotifierProvider
resolvedFixedCostByCategoryProvider,FutureProvider,,MiddleProvider,false,false,false,lib/view/monthly_page/monthly_fixed_cost/monthly_fixed_cost_page/fixed_cost_by_category_list_area.dart,カテゴリー別固定費取得（日付スコープ解決済み）,analyzePageDateScopeEntityProvider / monthlyFixedCostByCategoryNotifierProvider
resolvedDailyExpenseSummaryProvider,FutureProvider,,MiddleProvider,true,true,false,lib/view_model/middle_provider/resolved_all_category_tile_entity_provider/resolved_daily_expense_summary_provider.dart,日次支出サマリー取得（日付スコープ解決済み）,historicalDateScopeEntityProvider / historicalTransactionNotifierProvider
resolvedIncomeHistoryValueProvider,FutureProvider,,MiddleProvider,false,false,false,lib/view_model/middle_provider/resolved_all_category_tile_entity_provider/resolved_income_history_value_provider.dart,収入履歴取得（ホーム日付スコープ解決済み）,homeDateScopeEntityProvider / incomeHistoryNotifierProvider
resolvedTransactionHistoryValueProvider,FutureProvider,,MiddleProvider,false,false,false,lib/view_model/middle_provider/resolved_all_category_tile_entity_provider/resolved_transaction_history_value_provider.dart,トランザクション履歴取得（日付スコープ解決済み）,historicalDateScopeEntityProvider / historicalTransactionNotifierProvider
resolvedBonusIncomeHistoryValueProvider,FutureProvider,,MiddleProvider,false,false,false,lib/view_model/middle_provider/resolved_all_category_tile_entity_provider/resolved_bonus_income_history_value_provider.dart,ボーナス収入履歴取得（ホーム日付スコープ解決済み）,homeDateScopeEntityProvider / incomeHistoryNotifierProvider
resolvedBonusExpenseHistoryValueProvider,FutureProvider,,MiddleProvider,false,false,false,lib/view_model/middle_provider/resolved_all_category_tile_entity_provider/resolved_bonus_expense_history_value_provider.dart,ボーナス支出履歴取得（ホーム日付スコープ解決済み）,homeDateScopeEntityProvider / bonusExpenseHistoryDigestNotifierProvider
