ファイルパス,画面名（クラス名）,コンポーネント名（Widget名）,テキスト内容の種類,fontFamily,fontSize,fontWeight,color,定義方法,MyFontStyle使用,共通化の有無
lib/constant/styles/app_text_styles.dart,共通,AppTextStyles.appCardTitleLabel,ラベル,noto_sans,14,w500,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/app_text_styles.dart,共通,AppTextStyles.appCardPriceLabel,金額,sf_ui,20,w600,MyColors.white,MyFontStyle.sfUi.copyWith(),使用(sfUi),共通化済み
lib/constant/styles/app_text_styles.dart,共通,AppTextStyles.appCardPriceUnit,ラベル,noto_sans,13,w500,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/app_text_styles.dart,共通,AppTextStyles.appCardSecondaryTitleLabel,ラベル,noto_sans,14,w500,MyColors.white,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/app_text_styles.dart,共通,AppTextStyles.appCardSecondaryPriceLabel,金額,sf_ui,16,w500,MyColors.white,MyFontStyle.sfUi.copyWith(),使用(sfUi),共通化済み
lib/constant/styles/app_text_styles.dart,共通,AppTextStyles.appCardSecondaryPriceUnit,ラベル,noto_sans,10,w500,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/app_text_styles.dart,共通,AppTextStyles.appCardTertiaryTitleLabel,ラベル,noto_sans,13,w500,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/app_text_styles.dart,共通,AppTextStyles.appCardTertiaryPriceLabel,金額,sf_ui,14,w500,MyColors.secondaryLabel,MyFontStyle.sfUi.copyWith(),使用(sfUi),共通化済み
lib/constant/styles/app_text_styles.dart,共通,AppTextStyles.appCardTertiaryPriceUnit,ラベル,noto_sans,11,w500,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/app_text_styles.dart,共通,AppTextStyles.appCardOptionalSecondaryPriceLabel,金額,sf_ui,18,w500,MyColors.white,MyFontStyle.sfUi.copyWith(),使用(sfUi),共通化済み
lib/constant/styles/app_text_styles.dart,共通,AppTextStyles.appCardGraphLabel,ラベル,noto_sans,11,w600,MyColors.white,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/app_text_styles.dart,共通,AppTextStyles.popupMenuItemLabel(),ラベル,noto_sans,未指定,dynamic(bold/normal),dynamic(white),MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/app_text_styles.dart,共通,AppTextStyles.textButtonTextStyle,ボタン,noto_sans,12,w500,MyColors.themeColor,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/register_page_styles.dart,登録ページ,RegisterPageStyles.placeHolder,ラベル,noto_sans,14,w500,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/register_page_styles.dart,登録ページ,RegisterPageStyles.inputExpenseText,本文,sf_ui,25,w500,MyColors.label,MyFontStyle.sfUi.copyWith(),使用(sfUi),共通化済み
lib/constant/styles/register_page_styles.dart,登録ページ,RegisterPageStyles.inputText,本文,noto_sans,15,w500,MyColors.label,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/register_page_styles.dart,登録ページ,RegisterPageStyles.priceInput,金額,sf_ui,42,bold,MyColors.white,MyFontStyle.sfUi.copyWith(),使用(sfUi),共通化済み
lib/constant/styles/register_page_styles.dart,登録ページ,RegisterPageStyles.priceUnconfirmed,金額,sf_ui,42,bold,MyColors.secondaryLabel,MyFontStyle.sfUi.copyWith(),使用(sfUi),共通化済み
lib/constant/styles/register_page_styles.dart,登録ページ,RegisterPageStyles.yenSymbol(),金額,sf_ui,32,bold,dynamic,MyFontStyle.sfUi.copyWith(),使用(sfUi),共通化済み
lib/constant/styles/register_page_styles.dart,登録ページ,RegisterPageStyles.pillLabel(),ラベル,noto_sans,16,w600,dynamic,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/register_page_styles.dart,登録ページ,RegisterPageStyles.categoryLabel,ラベル,noto_sans,13,w500,MyColors.white,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/register_page_styles.dart,登録ページ,RegisterPageStyles.rearrangeLink,ボタン,noto_sans,16,w600,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/register_page_styles.dart,登録ページ,RegisterPageStyles.pickerLargeNumber,本文,sf_ui,24,bold,MyColors.label,MyFontStyle.sfUi.copyWith(),使用(sfUi),共通化済み
lib/constant/styles/register_page_styles.dart,登録ページ,RegisterPageStyles.pickerMediumText,本文,noto_sans,20,bold,MyColors.label,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/register_page_styles.dart,登録ページ,RegisterPageStyles.priceTypeSwitchLabel,ラベル,noto_sans,14,w400,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/monthly_page_styles.dart,月間ページ,MonthlyPageStyles.thirdPageSubheading,見出し,noto_sans,18,w600,MyColors.label,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/monthly_page_styles.dart,月間ページ,MonthlyPageStyles.topCardTitleLabel,ラベル,noto_sans,16,w400,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/monthly_page_styles.dart,月間ページ,MonthlyPageStyles.topCardSubTitleLabel,ラベル,noto_sans,14,w400,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/monthly_page_styles.dart,月間ページ,MonthlyPageStyles.topCardTirtiaryTitleLabel,ラベル,noto_sans,14,w400,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/monthly_page_styles.dart,月間ページ,MonthlyPageStyles.topCardPriceLabel,金額,sf_ui,26,w600,MyColors.label,MyFontStyle.sfUi.copyWith(),使用(sfUi),共通化済み
lib/constant/styles/monthly_page_styles.dart,月間ページ,MonthlyPageStyles.topCardSubPriceLabel,金額,sf_ui,19,w600,MyColors.label,MyFontStyle.sfUi.copyWith(),使用(sfUi),共通化済み
lib/constant/styles/monthly_page_styles.dart,月間ページ,MonthlyPageStyles.topCardTirtiaryPriceLabel,金額,noto_sans,14,w400,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/monthly_page_styles.dart,月間ページ,MonthlyPageStyles.topCardYenLabel,ラベル,noto_sans,16,w600,MyColors.label,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/monthly_page_styles.dart,月間ページ,MonthlyPageStyles.topCardSubYenLabel,ラベル,noto_sans,14,w300,MyColors.label,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/monthly_page_styles.dart,月間ページ,MonthlyPageStyles.topCardTirtiaryYenLabel,ラベル,noto_sans,11,w300,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/monthly_page_styles.dart,月間ページ,MonthlyPageStyles.fixedCostPageTitle,見出し,noto_sans,20,bold,未指定(default),MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/monthly_page_styles.dart,月間ページ,MonthlyPageStyles.fixedCostSummaryHeaderTitle,見出し,noto_sans,20,bold,Colors.white,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/monthly_page_styles.dart,月間ページ,MonthlyPageStyles.fixedCostSummaryHeaderAmount,金額,sf_ui,22,bold,Colors.white,MyFontStyle.sfUi.copyWith(),使用(sfUi),共通化済み
lib/constant/styles/monthly_page_styles.dart,月間ページ,MonthlyPageStyles.fixedCostSummaryConfirmedLabel,ラベル,noto_sans,16,未指定,Colors.white70,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/monthly_page_styles.dart,月間ページ,MonthlyPageStyles.fixedCostSummaryUnconfirmedLabel,ラベル,noto_sans,16,未指定,Colors.white54,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/monthly_page_styles.dart,月間ページ,MonthlyPageStyles.fixedCostSummaryRowAmount,金額,sf_ui,18,未指定,Colors.white,MyFontStyle.sfUi.copyWith(),使用(sfUi),共通化済み
lib/constant/styles/monthly_page_styles.dart,月間ページ,MonthlyPageStyles.fixedCostListEmptyMessage,エラー,noto_sans,16,未指定,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/monthly_page_styles.dart,月間ページ,MonthlyPageStyles.fixedCostCategoryListAmount,金額,sf_ui,16,w600,Colors.white,MyFontStyle.sfUi.copyWith(),使用(sfUi),共通化済み
lib/constant/styles/monthly_page_styles.dart,月間ページ,MonthlyPageStyles.categoryTileBudgetSeparator,ラベル,noto_sans,14,w400,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/monthly_page_styles.dart,月間ページ,MonthlyPageStyles.categoryTileBudgetTextLabel,ラベル,noto_sans,13,w400,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/monthly_page_styles.dart,月間ページ,MonthlyPageStyles.categoryTileBudgetPriceLabel,金額,noto_sans,14,w400,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/monthly_page_styles.dart,月間ページ,MonthlyPageStyles.categoryTileBudgetYenLabel,ラベル,noto_sans,11,w400,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/monthly_page_styles.dart,月間ページ,MonthlyPageStyles.categoryTileCategoryNameLabel,ラベル,noto_sans,16,w300,MyColors.white,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/monthly_page_styles.dart,月間ページ,MonthlyPageStyles.fixedCostChipLabel,ラベル,noto_sans,10,w400,MyColors.themeColor,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/monthly_page_styles.dart,月間ページ,MonthlyPageStyles.fixedCostHeaderCategoryName,見出し,noto_sans,18,w600,Colors.white,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/monthly_page_styles.dart,月間ページ,MonthlyPageStyles.planAreaButtonLabel,ボタン,noto_sans,15,w600,MyColors.themeColor,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/monthly_page_styles.dart,月間ページ,MonthlyPageStyles.categoryExpandedCategoryName,ラベル,noto_sans,16,normal,MyColors.label,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/monthly_page_styles.dart,月間ページ,MonthlyPageStyles.categoryExpandedPrice,金額,noto_sans,18,w600,MyColors.label,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/monthly_page_styles.dart,月間ページ,MonthlyPageStyles.categoryExpandedYen,ラベル,noto_sans,14,normal,MyColors.label,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/monthly_page_styles.dart,月間ページ,MonthlyPageStyles.categoryExpandedSubText,ラベル,noto_sans,12,normal,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/monthly_page_styles.dart,月間ページ,MonthlyPageStyles.categoryExpandedBudgetPrice,金額,noto_sans,14,normal,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/monthly_page_styles.dart,月間ページ,MonthlyPageStyles.categoryExpandedRecordCount,ラベル,noto_sans,14,normal,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/calendar_styles.dart,カレンダー,CalendarStyles.calendarDateBoxLarge,金額,sf_ui,11.5,w500,MyColors.white,MyFontStyle.sfUi.copyWith(),使用(sfUi),共通化済み
lib/constant/styles/calendar_styles.dart,カレンダー,CalendarStyles.calendarDateBoxSmall,金額,sf_ui,11,w500,MyColors.white,MyFontStyle.sfUi.copyWith(),使用(sfUi),共通化済み
lib/constant/styles/calendar_styles.dart,カレンダー,CalendarStyles.calendarWeekdayLabel,ラベル,noto_sans,12,w500,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/calendar_styles.dart,カレンダー,CalendarStyles.calendarWeekdaySunday,ラベル,noto_sans,12,w500,MyColors.pink,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/calendar_styles.dart,カレンダー,CalendarStyles.calendarWeekdaySaturday,ラベル,noto_sans,12,w500,MyColors.mintBlue,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/calendar_styles.dart,カレンダー,CalendarStyles.calendarDateLabel,ラベル,sf_ui,12,w500,MyColors.secondaryLabel,MyFontStyle.sfUi.copyWith(),使用(sfUi),共通化済み
lib/constant/styles/calendar_styles.dart,カレンダー,CalendarStyles.calendarDateLabelSunday,ラベル,sf_ui,12,w500,MyColors.pink,MyFontStyle.sfUi.copyWith(),使用(sfUi),共通化済み
lib/constant/styles/calendar_styles.dart,カレンダー,CalendarStyles.calendarDateLabelSaturday,ラベル,sf_ui,12,w500,MyColors.mintBlue,MyFontStyle.sfUi.copyWith(),使用(sfUi),共通化済み
lib/constant/styles/calendar_styles.dart,カレンダー,CalendarStyles.calendarOutOfPeriodDateLabel,ラベル,sf_ui,12,w500,MyColors.tirtiaryLabel,MyFontStyle.sfUi.copyWith(),使用(sfUi),共通化済み
lib/constant/styles/graph_text_styles.dart,グラフ,GraphTextStyles.graphLabel,ラベル,noto_sans,12,w500,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/graph_text_styles.dart,グラフ,GraphTextStyles.graphPriceLabel,金額,sf_ui,14,w500,MyColors.secondaryLabel,MyFontStyle.sfUi.copyWith(),使用(sfUi),共通化済み
lib/constant/styles/graph_text_styles.dart,グラフ,GraphTextStyles.graphMiniLabel,ラベル,noto_sans,11,w500,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/graph_text_styles.dart,グラフ,GraphTextStyles.tooltipDate,ラベル,sf_ui,14,w700,MyColors.label,MyFontStyle.sfUi.copyWith(),使用(sfUi),共通化済み
lib/constant/styles/graph_text_styles.dart,グラフ,GraphTextStyles.tooltipSubtitle,ラベル,sf_ui,13,w600,MyColors.label,MyFontStyle.sfUi.copyWith(),使用(sfUi),共通化済み
lib/constant/styles/graph_text_styles.dart,グラフ,GraphTextStyles.tooltipCategory,ラベル,sf_ui,12,w700,MyColors.label,MyFontStyle.sfUi.copyWith(),使用(sfUi),共通化済み
lib/constant/styles/graph_text_styles.dart,グラフ,GraphTextStyles.tooltipCumulativeLabel,ラベル,noto_sans,10,未指定,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/category_styles.dart,カテゴリー編集,CategoryStyles.newCategoryAdd,ボタン,noto_sans,17,w400,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/category_styles.dart,カテゴリー編集,CategoryStyles.categoryExpenseHistoryPageCategoryName,ラベル,noto_sans,16,w400,MyColors.label,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/category_styles.dart,カテゴリー編集,CategoryStyles.categoryExpenseHistoryPageRecordCount,ラベル,noto_sans,14,w300,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/category_styles.dart,カテゴリー編集,CategoryStyles.categoryExpenseHistoryPagePrice,金額,sf_ui,19,w300,MyColors.label,MyFontStyle.sfUi.copyWith(),使用(sfUi),共通化済み
lib/constant/styles/category_styles.dart,カテゴリー編集,CategoryStyles.categoryExpenseHistoryPageBudgetPrice,金額,sf_ui,14,w300,MyColors.secondaryLabel,MyFontStyle.sfUi.copyWith(),使用(sfUi),共通化済み
lib/constant/styles/category_styles.dart,カテゴリー編集,CategoryStyles.categoryExpenseHistoryPageYen,ラベル,noto_sans,11,w400,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/category_styles.dart,カテゴリー編集,CategoryStyles.categoryExpenseHistoryPageSubText,ラベル,noto_sans,13,w400,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/category_styles.dart,カテゴリー編集,CategoryStyles.listHeaderLabel,見出し,noto_sans,16,w400,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/category_styles.dart,カテゴリー編集,CategoryStyles.editListTitle,ラベル,noto_sans,18,w400,MyColors.label,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/category_styles.dart,カテゴリー編集,CategoryStyles.editListSubTitle,ラベル,noto_sans,14,w300,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/category_styles.dart,カテゴリー編集,CategoryStyles.categoryEditNameInput,本文,noto_sans,20,未指定,MyColors.label,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/category_styles.dart,カテゴリー編集,CategoryStyles.categoryEditNameHint,ラベル,noto_sans,16,未指定,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/category_styles.dart,カテゴリー編集,CategoryStyles.categoryEditColorLabel,ラベル,noto_sans,14,未指定,MyColors.label,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/budget_settings_styles.dart,予算設定,BudgetSettingsStyles.categoryTitle,ラベル,noto_sans,18,w400,MyColors.label,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/budget_settings_styles.dart,予算設定,BudgetSettingsStyles.subPrice,金額,sf_ui,16,w300,MyColors.secondaryLabel,MyFontStyle.sfUi.copyWith(),使用(sfUi),共通化済み
lib/constant/styles/budget_settings_styles.dart,予算設定,BudgetSettingsStyles.yenText,ラベル,noto_sans,14,w300,MyColors.tirtiaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/budget_settings_styles.dart,予算設定,BudgetSettingsStyles.textField,本文,sf_ui,20,w600,MyColors.white,MyFontStyle.sfUi.copyWith(),使用(sfUi),共通化済み
lib/constant/styles/budget_settings_styles.dart,予算設定,BudgetSettingsStyles.textFieldHint,ラベル,noto_sans,16,未指定,MyColors.tirtiaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/budget_settings_styles.dart,予算設定,BudgetSettingsStyles.columnHeaderLabel,ラベル,noto_sans,16,w400,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/yearly_income_list_styles.dart,年間収入リスト,YearlyIncomeListStyles.listMonthHeader,見出し,noto_sans,14,w600,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/yearly_income_list_styles.dart,年間収入リスト,YearlyIncomeListStyles.noDataMessage,エラー,noto_sans,16,w400,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/yearly_income_list_styles.dart,年間収入リスト,YearlyIncomeListStyles.errorMessage,エラー,noto_sans,16,w400,MyColors.red,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/view/monthly_page/monthly_fixed_cost/monthly_fixed_cost_page/fixed_cost_summary_header.dart,FixedCostSummaryHeader,Text,見出し,未指定(default),20,bold,Colors.white,インライン TextStyle(),未使用,インライン
lib/view/monthly_page/monthly_fixed_cost/monthly_fixed_cost_page/fixed_cost_summary_header.dart,FixedCostSummaryHeader,Text,金額,未指定(default),22,bold,Colors.white,インライン TextStyle(),未使用,インライン
lib/view/monthly_page/monthly_fixed_cost/monthly_fixed_cost_page/fixed_cost_summary_header.dart,FixedCostSummaryHeader,Text,ラベル,未指定(default),16,未指定,Colors.white70,インライン TextStyle(),未使用,インライン
lib/view/monthly_page/monthly_fixed_cost/monthly_fixed_cost_page/fixed_cost_summary_header.dart,FixedCostSummaryHeader,Text,金額,未指定(default),18,未指定,Colors.white,インライン TextStyle(),未使用,インライン
lib/view/monthly_page/monthly_fixed_cost/monthly_fixed_cost_page/fixed_cost_summary_header.dart,FixedCostSummaryHeader,Text,ラベル,未指定(default),16,未指定,Colors.white54,インライン TextStyle(),未使用,インライン
lib/view/monthly_page/monthly_fixed_cost/monthly_fixed_cost_page/fixed_cost_summary_header.dart,FixedCostSummaryHeader,Text,金額,未指定(default),18,未指定,Colors.white,インライン TextStyle(),未使用,インライン
lib/view/monthly_page/monthly_fixed_cost/monthly_fixed_cost_page/fixed_cost_by_category_list_area.dart,FixedCostByCategoryListArea,Text,エラー,未指定(default),16,未指定,MyColors.secondaryLabel,インライン TextStyle(),未使用,インライン
lib/view/year_page/yearly_balance_area/yearly_balance_bar_graph.dart,YearlyBalanceBarGraph,Text,エラー,未指定(default),16,未指定,MyColors.secondaryLabel,インライン TextStyle(),未使用,インライン
lib/view/year_page/yearly_balance_area/yearly_balance_bar_graph.dart,YearlyBalanceBarGraph,Text,エラー,未指定(default),16,未指定,MyColors.secondaryLabel,インライン TextStyle(),未使用,インライン
lib/view/year_page/bonus_plan_area/bonus_plan_bar_graph.dart,BonusPlanBarGraph,Text,エラー,未指定(default),16,未指定,MyColors.secondaryLabel,インライン TextStyle(),未使用,インライン
lib/view/year_page/bonus_plan_area/bonus_plan_bar_graph.dart,BonusPlanBarGraph,Text,エラー,未指定(default),16,未指定,MyColors.secondaryLabel,インライン TextStyle(),未使用,インライン
lib/view/register_page/category_area/category_reorder_page.dart,CategoryReorderPage,Text,ラベル,未指定(default),14,未指定,MyColors.secondaryLabel,インライン TextStyle(),未使用,インライン
lib/view/daily_expense_summary_page/daily_expense_summary_page.dart,DailyExpenseSummaryPage,Text,ラベル,noto_sans,14(copyWith),w400,MyColors.secondaryLabel,定数参照+copyWith,使用(notoSans/間接),copyWithで上書き
